traverse zoo,,
Taxon Name,Accepted ID,
Calanus I-IV,1,
Para-Pseudocalanus spp.,3,
Temora longicornis,4,
Acartia spp. (unidentified),5,
Centropages typicus,6,
Centropages hamatus,7,
Clausocalanus spp.,9,
Oithona spp.,10,
Podon spp.,30,
Evadne spp.,31,
Cyphonautes,35,
Echinoderm larvae,36,
Dictyocysta spp.,134,included in 10671
Parafavella gigantea,135,included in 10671
Halosphaera spp.,197,
Harpacticoida Total Traverse,306,
Metridia I-IV,314,
Copepod nauplii,326,
Acartia longiremis,327,
Copepod eggs,347,
Cirripede larvae (Total),350,
Euphausiacea calyptopis,351,
Euphausiacea nauplii,352,
Euphausiacea eggs,353,
Foraminifera (Total),354,
Radiolaria Total,355,
Zoothamnium pelagicum,357,
Centropages spp. (Unidentified),431,
Tintinnopsis spp.,805,included in 10671
Fusopsis incertae sedis,974,
Acantharia spp,1608,included in 355
Radiolaria non-Acantharian,1609,included in 355
Paracalanus spp.,1628,included in 3 
Microsetella spp.,1629,
Codonellopsis spp.,1652,included in 10671
Appendicularia,10031,
Cirripede nauplii,10535,included in 350
Cirripede cypris,10536,included in 350
Parafavella spp.,10546,included in 10671
Salpingella spp.,10550,included in 10671
Stenosemella spp.,10552,included in 10671
Fritillaria spp.,10584,included in 10031
Bivalvia larvae,10590,
Pseudocalanus spp. Adult Atlantic,10591,included in 350
Tintinnida Total,10671,
Thecosomata (North Atlantic),10673,